#None
#
Head,deviceID,deviceTimeStamp,data,androidTimeStamp
11,F9:07:67:E9:FC:3B,10347,"ACC: [-0.08,-0.04,1.02],GYR: [1.13,-0.15,0.59]",16:06:08.545
23,F9:07:67:E9:FC:3B,10348,"PS: [-0.00,0.00, 0.00,-0.00, 0.00,0.01,0.00,-0.00]",16:06:08.545
11,F9:07:67:E9:FC:3B,10371,"ACC: [-0.09,-0.05,1.02],GYR: [1.10,-0.20,0.58]",16:06:08.595
11,F9:07:67:E9:FC:3B,10403,"ACC: [-0.06,-0.06,0.94],GYR: [1.21,-0.52,0.63]",16:06:08.596
11,F9:07:67:E9:FC:3B,10358,"ACC: [-0.09,-0.05,1.02],GYR: [1.10,-0.17,0.56]",16:06:08.545
23,F9:07:67:E9:FC:3B,10372,"PS: [-0.01,-0.00, 0.01,-0.00, -0.00,-0.01,0.01,0.02]",16:06:08.595
11,F9:07:67:E9:FC:3B,10414,"ACC: [-0.13,0.06,1.19],GYR: [7.52,-6.55,1.42]",16:06:08.616
11,F9:07:67:E9:FC:3B,10445,"ACC: [-0.08,-0.12,1.01],GYR: [22.23,-5.98,1.92]",16:06:08.619
23,F9:07:67:E9:FC:3B,10404,"PS: [-0.01,-0.01, -0.01,-0.00, 0.01,-0.00,-0.02,-0.00]",16:06:08.596
23,F9:07:67:E9:FC:3B,10360,"PS: [-0.01,-0.01, 0.00,-0.00, 0.01,-0.00,0.01,-0.01]",16:06:08.545
11,F9:07:67:E9:FC:3B,10487,"ACC: [-0.06,-0.06,1.03],GYR: [-17.99,6.85,0.99]",16:06:08.640
11,F9:07:67:E9:FC:3B,10382,"ACC: [-0.09,-0.05,1.02],GYR: [1.21,-0.17,0.56]",16:06:08.595
23,F9:07:67:E9:FC:3B,10415,"PS: [0.00,0.00, 0.01,-0.00, 0.02,0.00,0.01,0.01]",16:06:08.616
23,F9:07:67:E9:FC:3B,10446,"PS: [0.01,0.01, 0.00,-0.01, 0.00,-0.00,0.02,-0.00]",16:06:08.619
11,F9:07:67:E9:FC:3B,10519,"ACC: [-0.09,-0.05,1.00],GYR: [7.89,-4.73,1.02]",16:06:08.661
11,F9:07:67:E9:FC:3B,10530,"ACC: [-0.07,-0.04,1.05],GYR: [5.26,0.84,0.79]",16:06:08.663
23,F9:07:67:E9:FC:3B,10488,"PS: [0.02,0.00, -0.00,0.00, 0.01,0.02,-0.00,0.01]",16:06:08.640
23,F9:07:67:E9:FC:3B,10384,"PS: [-0.00,0.00, -0.00,0.00, -0.00,0.00,-0.00,0.00]",16:06:08.595
11,F9:07:67:E9:FC:3B,10425,"ACC: [-0.10,-0.01,1.02],GYR: [18.00,-8.27,1.74]",16:06:08.616
11,F9:07:67:E9:FC:3B,10456,"ACC: [-0.07,-0.02,1.02],GYR: [10.17,-1.05,1.42]",16:06:08.619
23,F9:07:67:E9:FC:3B,10520,"PS: [0.00,-0.00, -0.00,0.00, 0.01,-0.00,0.02,-0.01]",16:06:08.661
23,F9:07:67:E9:FC:3B,10531,"PS: [0.00,0.00, 0.01,0.00, 0.01,-0.00,0.02,0.01]",16:06:08.663
11,F9:07:67:E9:FC:3B,10499,"ACC: [-0.08,-0.08,0.91],GYR: [-24.88,7.43,1.07]",16:06:08.640
23,F9:07:67:E9:FC:3B,10426,"PS: [-0.01,-0.00, -0.00,0.00, -0.01,-0.01,0.00,0.00]",16:06:08.616
23,F9:07:67:E9:FC:3B,10457,"PS: [0.00,-0.01, 0.00,-0.00, -0.01,0.00,-0.00,0.00]",16:06:08.619
11,F9:07:67:E9:FC:3B,10542,"ACC: [-0.11,0.06,1.00],GYR: [7.66,-2.96,1.57]",16:06:08.663
11,F9:07:67:E9:FC:3B,10554,"ACC: [-0.09,-0.15,0.98],GYR: [10.36,-1.10,2.03]",16:06:08.691
23,F9:07:67:E9:FC:3B,10500,"PS: [-0.01,0.00, 0.01,-0.00, 0.01,0.02,-0.01,0.00]",16:06:08.640
11,F9:07:67:E9:FC:3B,10563,"ACC: [-0.09,-0.03,1.01],GYR: [-3.31,2.26,1.40]",16:06:08.694
23,F9:07:67:E9:FC:3B,10543,"PS: [-0.01,-0.01, -0.00,0.00, -0.02,-0.00,-0.01,0.00]",16:06:08.663
23,F9:07:67:E9:FC:3B,10555,"PS: [0.00,-0.01, -0.00,-0.00, -0.01,0.00,0.01,0.01]",16:06:08.691
23,F9:07:67:E9:FC:3B,10564,"PS: [0.00,0.01, 0.00,-0.00, 0.01,0.01,-0.01,-0.00]",16:06:08.694
11,F9:07:67:E9:FC:3B,10597,"ACC: [-0.09,-0.04,1.02],GYR: [2.43,-1.43,0.52]",16:06:08.722
11,F9:07:67:E9:FC:3B,10574,"ACC: [-0.09,-0.07,1.04],GYR: [-8.29,2.43,1.08]",16:06:08.694
11,F9:07:67:E9:FC:3B,10629,"ACC: [-0.09,-0.03,1.02],GYR: [2.84,-1.24,0.95]",16:06:08.726
23,F9:07:67:E9:FC:3B,10598,"PS: [0.01,0.00, 0.01,0.01, -0.00,0.01,0.01,0.00]",16:06:08.722
23,F9:07:67:E9:FC:3B,10575,"PS: [0.00,-0.00, 0.00,-0.01, -0.00,0.01,-0.02,0.00]",16:06:08.694
23,F9:07:67:E9:FC:3B,10630,"PS: [0.01,-0.00, 0.00,0.00, 0.00,0.01,0.00,0.01]",16:06:08.726
11,F9:07:67:E9:FC:3B,10606,"ACC: [-0.09,-0.04,1.02],GYR: [2.43,-1.43,0.52]",16:06:08.722
23,F9:07:67:E9:FC:3B,10607,"PS: [0.01,0.02, 0.00,0.01, 0.01,-0.01,0.00,-0.00]",16:06:08.722
11,F9:07:67:E9:FC:3B,10640,"ACC: [-0.08,-0.04,1.02],GYR: [0.72,0.70,0.64]",16:06:08.757
23,F9:07:67:E9:FC:3B,10641,"PS: [-0.00,-0.00, 0.00,0.00, -0.01,-0.00,-0.01,-0.01]",16:06:08.757
11,F9:07:67:E9:FC:3B,10652,"ACC: [-0.09,-0.04,1.01],GYR: [-0.73,0.70,0.50]",16:06:08.757
23,F9:07:67:E9:FC:3B,10653,"PS: [-0.01,0.01, -0.01,-0.00, 0.00,0.01,-0.01,0.00]",16:06:08.757
11,F9:07:67:E9:FC:3B,10665,"ACC: [-0.09,-0.04,1.02],GYR: [1.48,-0.38,0.53]",16:06:08.787
11,F9:07:67:E9:FC:3B,10676,"ACC: [-0.08,-0.04,1.01],GYR: [0.96,0.02,0.66]",16:06:08.789
23,F9:07:67:E9:FC:3B,10666,"PS: [-0.00,-0.00, 0.01,0.00, -0.01,-0.00,0.01,0.01]",16:06:08.787
23,F9:07:67:E9:FC:3B,10678,"PS: [0.00,-0.00, 0.00,0.01, -0.00,0.00,-0.00,-0.01]",16:06:08.789
11,F9:07:67:E9:FC:3B,10688,"ACC: [-0.08,-0.05,1.02],GYR: [1.28,-0.06,0.66]",16:06:08.789
23,F9:07:67:E9:FC:3B,10690,"PS: [-0.01,-0.00, -0.00,0.01, -0.00,-0.00,-0.01,0.01]",16:06:08.789
11,F9:07:67:E9:FC:3B,10701,"ACC: [-0.09,-0.04,1.01],GYR: [0.92,-0.02,0.58]",16:06:08.814
11,F9:07:67:E9:FC:3B,10733,"ACC: [-0.09,-0.04,1.02],GYR: [1.13,-0.27,0.56]",16:06:08.817
23,F9:07:67:E9:FC:3B,10703,"PS: [-0.01,0.00, 0.01,0.00, 0.01,-0.01,0.01,-0.01]",16:06:08.814
23,F9:07:67:E9:FC:3B,10735,"PS: [0.00,0.00, -0.01,-0.02, 0.00,-0.01,0.00,0.00]",16:06:08.817
11,F9:07:67:E9:FC:3B,10713,"ACC: [-0.09,-0.04,1.02],GYR: [1.27,-0.38,0.56]",16:06:08.814
23,F9:07:67:E9:FC:3B,10714,"PS: [0.00,0.00, -0.00,0.01, -0.00,-0.00,0.00,0.00]",16:06:08.814
11,F9:07:67:E9:FC:3B,10744,"ACC: [-0.09,-0.04,1.02],GYR: [0.95,-0.08,0.59]",16:06:08.846
11,F9:07:67:E9:FC:3B,10777,"ACC: [-0.09,-0.05,1.02],GYR: [1.11,-0.21,0.56]",16:06:08.849
23,F9:07:67:E9:FC:3B,10746,"PS: [0.00,-0.01, -0.00,-0.00, 0.00,0.00,0.00,-0.01]",16:06:08.846
23,F9:07:67:E9:FC:3B,10778,"PS: [-0.00,0.01, 0.00,0.00, -0.00,0.01,-0.00,0.01]",16:06:08.849
11,F9:07:67:E9:FC:3B,10756,"ACC: [-0.09,-0.04,1.02],GYR: [1.25,-0.20,0.58]",16:06:08.846
23,F9:07:67:E9:FC:3B,10757,"PS: [0.01,0.00, 0.00,0.00, -0.01,0.01,-0.00,-0.00]",16:06:08.846
11,F9:07:67:E9:FC:3B,10788,"ACC: [-0.08,-0.04,1.02],GYR: [1.01,-0.15,0.55]",16:06:08.875
23,F9:07:67:E9:FC:3B,10789,"PS: [0.00,-0.01, 0.01,-0.01, 0.02,0.00,-0.00,0.01]",16:06:08.875
11,F9:07:67:E9:FC:3B,10799,"ACC: [-0.09,-0.04,1.02],GYR: [1.07,-0.20,0.55]",16:06:08.875
23,F9:07:67:E9:FC:3B,10801,"PS: [0.00,-0.01, -0.00,0.00, 0.00,-0.00,0.01,-0.01]",16:06:08.875
11,F9:07:67:E9:FC:3B,10812,"ACC: [-0.08,-0.04,1.02],GYR: [1.19,-0.15,0.55]",16:06:08.903
11,F9:07:67:E9:FC:3B,10824,"ACC: [-0.09,-0.04,1.02],GYR: [1.14,-0.18,0.55]",16:06:08.906
23,F9:07:67:E9:FC:3B,10813,"PS: [0.01,-0.00, -0.01,-0.00, 0.01,-0.00,0.00,0.00]",16:06:08.903
23,F9:07:67:E9:FC:3B,10825,"PS: [-0.00,-0.00, 0.00,0.00, 0.00,-0.00,0.00,0.01]",16:06:08.906
11,F9:07:67:E9:FC:3B,10835,"ACC: [-0.08,-0.04,1.01],GYR: [1.05,-0.18,0.59]",16:06:08.906
23,F9:07:67:E9:FC:3B,10837,"PS: [-0.01,-0.01, -0.00,-0.00, -0.01,0.00,-0.01,0.00]",16:06:08.906
11,F9:07:67:E9:FC:3B,10848,"ACC: [-0.08,-0.04,1.02],GYR: [1.01,-0.09,0.61]",16:06:08.935
11,F9:07:67:E9:FC:3B,10880,"ACC: [-0.09,-0.04,1.02],GYR: [1.10,-0.14,0.56]",16:06:08.937
23,F9:07:67:E9:FC:3B,10849,"PS: [-0.01,-0.01, 0.01,0.00, 0.00,0.01,-0.00,-0.00]",16:06:08.935
23,F9:07:67:E9:FC:3B,10882,"PS: [-0.01,-0.01, -0.00,-0.02, -0.01,-0.01,0.01,0.00]",16:06:08.937
11,F9:07:67:E9:FC:3B,10860,"ACC: [-0.09,-0.04,1.02],GYR: [1.14,-0.20,0.56]",16:06:08.935
23,F9:07:67:E9:FC:3B,10861,"PS: [0.01,0.00, -0.00,-0.00, 0.00,0.00,-0.01,-0.01]",16:06:08.935
11,F9:07:67:E9:FC:3B,10891,"ACC: [-0.09,-0.05,1.02],GYR: [1.07,-0.14,0.56]",16:06:08.963
