#None
#test
Head,deviceID,deviceTimeStamp,data,androidTimeStamp
11,E0:B0:13:7D:7B:58,18676,"ACC: [0.10,-0.07,1.02],GYR: [1.43,-0.32,-0.46]",10:52:58.422
11,E0:B0:13:7D:7B:58,18688,"ACC: [0.10,-0.07,1.02],GYR: [1.43,-0.35,-0.46]",10:52:58.452
11,F9:07:67:E9:FC:3B,42949,"ACC: [-0.09,-0.05,1.02],GYR: [0.96,-0.08,0.58]",10:52:58.453
11,F9:07:67:E9:FC:3B,42949,"ACC: [-0.09,-0.05,1.02],GYR: [0.96,-0.08,0.58]",10:52:58.454
11,E0:B0:13:7D:7B:58,18700,"ACC: [0.10,-0.06,1.02],GYR: [1.45,-0.32,-0.46]",10:52:58.454
11,E0:B0:13:7D:7B:58,18712,"ACC: [0.10,-0.07,1.02],GYR: [1.48,-0.35,-0.47]",10:52:58.455
11,E0:B0:13:7D:7B:58,18725,"ACC: [0.10,-0.06,1.02],GYR: [1.46,-0.35,-0.47]",10:52:58.456
11,F9:07:67:E9:FC:3B,42961,"ACC: [-0.08,-0.05,1.02],GYR: [0.89,-0.05,0.59]",10:52:58.522
11,F9:07:67:E9:FC:3B,42961,"ACC: [-0.08,-0.05,1.02],GYR: [0.89,-0.05,0.59]",10:52:58.524
11,F9:07:67:E9:FC:3B,42986,"ACC: [-0.09,-0.05,1.02],GYR: [0.90,-0.11,0.61]",10:52:58.534
11,F9:07:67:E9:FC:3B,42986,"ACC: [-0.09,-0.05,1.02],GYR: [0.90,-0.11,0.61]",10:52:58.536
11,E0:B0:13:7D:7B:58,18737,"ACC: [0.10,-0.07,1.02],GYR: [1.43,-0.32,-0.44]",10:52:58.537
11,E0:B0:13:7D:7B:58,18749,"ACC: [0.10,-0.07,1.02],GYR: [1.48,-0.32,-0.46]",10:52:58.540
23,E0:B0:13:7D:7B:58,18677,"PS: [0.00,0.00, 0.01,0.00, 0.00,-0.01,0.03,-0.00]",10:52:58.422
11,E0:B0:13:7D:7B:58,18762,"ACC: [0.09,-0.07,1.02],GYR: [1.46,-0.35,-0.44]",10:52:58.545
11,E0:B0:13:7D:7B:58,18774,"ACC: [0.10,-0.07,1.02],GYR: [1.45,-0.35,-0.43]",10:52:58.547
11,F9:07:67:E9:FC:3B,43019,"ACC: [-0.09,-0.05,1.02],GYR: [0.98,-0.11,0.63]",10:52:58.548
11,F9:07:67:E9:FC:3B,43019,"ACC: [-0.09,-0.05,1.02],GYR: [0.98,-0.11,0.63]",10:52:58.548
11,F9:07:67:E9:FC:3B,43053,"ACC: [-0.08,-0.05,1.02],GYR: [0.90,-0.09,0.61]",10:52:58.548
11,F9:07:67:E9:FC:3B,43053,"ACC: [-0.08,-0.05,1.02],GYR: [0.90,-0.09,0.61]",10:52:58.549
11,E0:B0:13:7D:7B:58,18786,"ACC: [0.10,-0.07,1.02],GYR: [1.46,-0.35,-0.49]",10:52:58.549
11,E0:B0:13:7D:7B:58,18798,"ACC: [0.10,-0.07,1.03],GYR: [1.45,-0.34,-0.47]",10:52:58.550
11,E0:B0:13:7D:7B:58,18811,"ACC: [0.10,-0.07,1.03],GYR: [1.46,-0.32,-0.49]",10:52:58.551
11,F9:07:67:E9:FC:3B,43065,"ACC: [-0.08,-0.05,1.01],GYR: [0.90,-0.09,0.61]",10:52:58.554
11,F9:07:67:E9:FC:3B,43065,"ACC: [-0.08,-0.05,1.01],GYR: [0.90,-0.09,0.61]",10:52:58.554
11,E0:B0:13:7D:7B:58,18823,"ACC: [0.10,-0.07,1.02],GYR: [1.43,-0.34,-0.47]",10:52:58.555
11,E0:B0:13:7D:7B:58,18835,"ACC: [0.10,-0.07,1.02],GYR: [1.46,-0.34,-0.46]",10:52:58.556
11,E0:B0:13:7D:7B:58,18847,"ACC: [0.11,-0.07,1.02],GYR: [1.50,-0.32,-0.49]",10:52:58.557
11,F9:07:67:E9:FC:3B,43090,"ACC: [-0.09,-0.05,1.02],GYR: [0.93,-0.08,0.59]",10:52:58.557
11,F9:07:67:E9:FC:3B,43090,"ACC: [-0.09,-0.05,1.02],GYR: [0.93,-0.08,0.59]",10:52:58.557
11,F9:07:67:E9:FC:3B,43102,"ACC: [-0.08,-0.05,1.02],GYR: [0.92,-0.12,0.59]",10:52:58.558
11,F9:07:67:E9:FC:3B,43102,"ACC: [-0.08,-0.05,1.02],GYR: [0.92,-0.12,0.59]",10:52:58.558
11,E0:B0:13:7D:7B:58,18859,"ACC: [0.10,-0.07,1.02],GYR: [1.45,-0.32,-0.44]",10:52:58.559
23,E0:B0:13:7D:7B:58,18689,"PS: [-0.00,-0.01, -0.00,-0.01, -0.01,0.01,0.03,0.00]",10:52:58.452
23,F9:07:67:E9:FC:3B,42951,"PS: [0.00,0.00, 0.00,-0.00, -0.00,0.00,0.01,0.00]",10:52:58.453
11,E0:B0:13:7D:7B:58,18872,"ACC: [0.10,-0.07,1.02],GYR: [1.42,-0.37,-0.46]",10:52:58.578
11,E0:B0:13:7D:7B:58,18884,"ACC: [0.10,-0.07,1.02],GYR: [1.45,-0.32,-0.46]",10:52:58.579
11,F9:07:67:E9:FC:3B,43134,"ACC: [-0.08,-0.05,1.02],GYR: [0.90,-0.08,0.59]",10:52:58.579
11,F9:07:67:E9:FC:3B,43134,"ACC: [-0.08,-0.05,1.02],GYR: [0.90,-0.08,0.59]",10:52:58.581
11,F9:07:67:E9:FC:3B,43170,"ACC: [-0.08,-0.05,1.02],GYR: [0.87,-0.08,0.59]",10:52:58.582
11,F9:07:67:E9:FC:3B,43170,"ACC: [-0.08,-0.05,1.02],GYR: [0.87,-0.08,0.59]",10:52:58.583
23,F9:07:67:E9:FC:3B,42951,"PS: [0.00,0.00, 0.00,-0.00, -0.00,0.00,0.01,0.00]",10:52:58.454
11,E0:B0:13:7D:7B:58,18896,"ACC: [0.10,-0.07,1.02],GYR: [1.46,-0.34,-0.47]",10:52:58.618
11,E0:B0:13:7D:7B:58,18909,"ACC: [0.10,-0.07,1.02],GYR: [1.48,-0.31,-0.44]",10:52:58.619
11,E0:B0:13:7D:7B:58,18921,"ACC: [0.10,-0.07,1.02],GYR: [1.46,-0.35,-0.44]",10:52:58.620
11,E0:B0:13:7D:7B:58,18933,"ACC: [0.10,-0.07,1.02],GYR: [1.48,-0.32,-0.47]",10:52:58.621
23,E0:B0:13:7D:7B:58,18701,"PS: [-0.00,0.00, 0.01,0.01, 0.01,-0.02,-0.03,-0.01]",10:52:58.454
11,E0:B0:13:7D:7B:58,18945,"ACC: [0.10,-0.07,1.02],GYR: [1.46,-0.34,-0.44]",10:52:58.629
23,E0:B0:13:7D:7B:58,18713,"PS: [0.01,0.01, 0.00,0.01, 0.00,0.00,0.02,-0.00]",10:52:58.455
11,E0:B0:13:7D:7B:58,18954,"ACC: [0.10,-0.07,1.03],GYR: [1.45,-0.35,-0.43]",10:52:58.641
11,F9:07:67:E9:FC:3B,43182,"ACC: [-0.08,-0.05,1.02],GYR: [0.93,-0.08,0.59]",10:52:58.641
11,F9:07:67:E9:FC:3B,43182,"ACC: [-0.08,-0.05,1.02],GYR: [0.93,-0.08,0.59]",10:52:58.642
23,E0:B0:13:7D:7B:58,18726,"PS: [0.00,-0.01, -0.00,0.01, -0.01,0.01,0.02,0.01]",10:52:58.456
11,F9:07:67:E9:FC:3B,43207,"ACC: [-0.08,-0.05,1.02],GYR: [0.92,-0.11,0.58]",10:52:58.649
11,F9:07:67:E9:FC:3B,43207,"ACC: [-0.08,-0.05,1.02],GYR: [0.92,-0.11,0.58]",10:52:58.649
11,E0:B0:13:7D:7B:58,18966,"ACC: [0.11,-0.07,1.02],GYR: [1.43,-0.34,-0.44]",10:52:58.651
23,F9:07:67:E9:FC:3B,42963,"PS: [0.01,0.00, 0.01,-0.00, -0.01,-0.01,0.00,0.00]",10:52:58.522
11,E0:B0:13:7D:7B:58,18977,"ACC: [0.10,-0.07,1.02],GYR: [1.43,-0.34,-0.46]",10:52:58.662
23,F9:07:67:E9:FC:3B,42963,"PS: [0.01,0.00, 0.01,-0.00, -0.01,-0.01,0.00,0.00]",10:52:58.524
11,E0:B0:13:7D:7B:58,18989,"ACC: [0.10,-0.07,1.02],GYR: [1.46,-0.34,-0.47]",10:52:58.677
11,F9:07:67:E9:FC:3B,43219,"ACC: [-0.08,-0.05,1.02],GYR: [0.89,-0.11,0.58]",10:52:58.688
