Head,deviceID,deviceTimeStamp,data,androidTimeStamp
11,FE:F7:D0:12:2E:8D,16796,"ACC: [0.09,-0.02,-0.98],GYR: [-0.14,-0.02,-0.47]",13:28:44.328
11,FE:F7:D0:12:2E:8D,16796,"ACC: [0.09,-0.02,-0.98],GYR: [-0.14,-0.02,-0.47]",13:28:44.357
11,FE:F7:D0:12:2E:8D,16832,"ACC: [0.09,-0.02,-0.99],GYR: [-0.17,-0.05,-0.44]",13:28:44.358
11,FE:F7:D0:12:2E:8D,16832,"ACC: [0.09,-0.02,-0.99],GYR: [-0.17,-0.05,-0.44]",13:28:44.358
11,FE:F7:D0:12:2E:8D,16844,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.06,-0.47]",13:28:44.432
11,FE:F7:D0:12:2E:8D,16844,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.06,-0.47]",13:28:44.433
23,FE:F7:D0:12:2E:8D,16797,"PS: [0.01,0.00, -0.01,-0.00, 0.01,0.00,0.00,0.01]",13:28:44.328
11,FE:F7:D0:12:2E:8D,16869,"ACC: [0.09,-0.02,-0.99],GYR: [-0.12,-0.02,-0.43]",13:28:44.438
11,FE:F7:D0:12:2E:8D,16869,"ACC: [0.09,-0.02,-0.99],GYR: [-0.12,-0.02,-0.43]",13:28:44.438
11,FE:F7:D0:12:2E:8D,16881,"ACC: [0.09,-0.02,-0.99],GYR: [-0.12,-0.03,-0.44]",13:28:44.440
11,FE:F7:D0:12:2E:8D,16881,"ACC: [0.09,-0.02,-0.99],GYR: [-0.12,-0.03,-0.44]",13:28:44.441
11,FE:F7:D0:12:2E:8D,16906,"ACC: [0.08,-0.03,-0.98],GYR: [-0.12,-0.02,-0.41]",13:28:44.442
11,FE:F7:D0:12:2E:8D,16906,"ACC: [0.08,-0.03,-0.98],GYR: [-0.12,-0.02,-0.41]",13:28:44.443
11,FE:F7:D0:12:2E:8D,16938,"ACC: [0.09,-0.02,-0.98],GYR: [-0.09,-0.06,-0.43]",13:28:44.444
11,FE:F7:D0:12:2E:8D,16938,"ACC: [0.09,-0.02,-0.98],GYR: [-0.09,-0.06,-0.43]",13:28:44.445
11,FE:F7:D0:12:2E:8D,16950,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,0.03,-0.44]",13:28:44.446
11,FE:F7:D0:12:2E:8D,16950,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,0.03,-0.44]",13:28:44.446
23,FE:F7:D0:12:2E:8D,16797,"PS: [0.01,0.00, -0.01,-0.00, 0.01,0.00,0.00,0.01]",13:28:44.357
23,FE:F7:D0:12:2E:8D,16834,"PS: [0.00,0.01, 0.00,0.01, -0.00,-0.00,0.00,0.01]",13:28:44.358
11,FE:F7:D0:12:2E:8D,16985,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,-0.03,-0.44]",13:28:44.493
11,FE:F7:D0:12:2E:8D,16985,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,-0.03,-0.44]",13:28:44.494
11,FE:F7:D0:12:2E:8D,16997,"ACC: [0.09,-0.03,-0.98],GYR: [-0.12,-0.02,-0.46]",13:28:44.494
11,FE:F7:D0:12:2E:8D,16997,"ACC: [0.09,-0.03,-0.98],GYR: [-0.12,-0.02,-0.46]",13:28:44.494
23,FE:F7:D0:12:2E:8D,16834,"PS: [0.00,0.01, 0.00,0.01, -0.00,-0.00,0.00,0.01]",13:28:44.358
11,FE:F7:D0:12:2E:8D,17018,"ACC: [0.09,-0.03,-0.99],GYR: [-0.14,-0.05,-0.44]",13:28:44.508
11,FE:F7:D0:12:2E:8D,17018,"ACC: [0.09,-0.03,-0.99],GYR: [-0.14,-0.05,-0.44]",13:28:44.508
11,FE:F7:D0:12:2E:8D,17053,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,0.00,-0.49]",13:28:44.520
11,FE:F7:D0:12:2E:8D,17053,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,0.00,-0.49]",13:28:44.521
23,FE:F7:D0:12:2E:8D,16845,"PS: [-0.00,0.00, -0.00,0.00, 0.00,0.00,0.00,-0.00]",13:28:44.432
11,FE:F7:D0:12:2E:8D,17065,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,0.00,-0.49]",13:28:44.561
11,FE:F7:D0:12:2E:8D,17065,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,0.00,-0.49]",13:28:44.561
11,FE:F7:D0:12:2E:8D,17086,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.02,-0.46]",13:28:44.573
11,FE:F7:D0:12:2E:8D,17086,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.02,-0.46]",13:28:44.573
23,FE:F7:D0:12:2E:8D,16845,"PS: [-0.00,0.00, -0.00,0.00, 0.00,0.00,0.00,-0.00]",13:28:44.433
11,FE:F7:D0:12:2E:8D,17097,"ACC: [0.09,-0.03,-0.98],GYR: [-0.12,-0.05,-0.44]",13:28:44.575
11,FE:F7:D0:12:2E:8D,17097,"ACC: [0.09,-0.03,-0.98],GYR: [-0.12,-0.05,-0.44]",13:28:44.576
11,FE:F7:D0:12:2E:8D,16808,"ACC: [0.09,-0.02,-0.98],GYR: [-0.17,-0.02,-0.43]",13:28:44.328
11,FE:F7:D0:12:2E:8D,17132,"ACC: [0.09,-0.02,-0.98],GYR: [-0.14,-0.02,-0.43]",13:28:44.593
11,FE:F7:D0:12:2E:8D,17132,"ACC: [0.09,-0.02,-0.98],GYR: [-0.14,-0.02,-0.43]",13:28:44.593
11,FE:F7:D0:12:2E:8D,17144,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.02,-0.46]",13:28:44.595
11,FE:F7:D0:12:2E:8D,17144,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.02,-0.46]",13:28:44.595
23,FE:F7:D0:12:2E:8D,16870,"PS: [-0.02,0.00, 0.00,0.00, 0.00,-0.00,0.00,-0.00]",13:28:44.438
23,FE:F7:D0:12:2E:8D,16870,"PS: [-0.02,0.00, 0.00,0.00, 0.00,-0.00,0.00,-0.00]",13:28:44.438
23,FE:F7:D0:12:2E:8D,16882,"PS: [-0.00,-0.00, -0.00,-0.00, 0.00,0.01,-0.02,-0.00]",13:28:44.440
23,FE:F7:D0:12:2E:8D,16882,"PS: [-0.00,-0.00, -0.00,-0.00, 0.00,0.01,-0.02,-0.00]",13:28:44.441
11,FE:F7:D0:12:2E:8D,17169,"ACC: [0.09,-0.02,-0.99],GYR: [-0.17,-0.02,-0.44]",13:28:44.624
11,FE:F7:D0:12:2E:8D,17169,"ACC: [0.09,-0.02,-0.99],GYR: [-0.17,-0.02,-0.44]",13:28:44.624
11,FE:F7:D0:12:2E:8D,17201,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,-0.02,-0.47]",13:28:44.627
11,FE:F7:D0:12:2E:8D,17201,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,-0.02,-0.47]",13:28:44.627
23,FE:F7:D0:12:2E:8D,16907,"PS: [0.01,-0.00, -0.00,0.01, 0.01,-0.00,0.00,0.01]",13:28:44.442
23,FE:F7:D0:12:2E:8D,16907,"PS: [0.01,-0.00, -0.00,0.01, 0.01,-0.00,0.00,0.01]",13:28:44.443
23,FE:F7:D0:12:2E:8D,16940,"PS: [-0.00,-0.01, 0.00,-0.00, 0.00,-0.00,0.00,0.00]",13:28:44.444
23,FE:F7:D0:12:2E:8D,16940,"PS: [-0.00,-0.01, 0.00,-0.00, 0.00,-0.00,0.00,0.00]",13:28:44.445
11,FE:F7:D0:12:2E:8D,17212,"ACC: [0.09,-0.02,-0.98],GYR: [-0.17,0.03,-0.44]",13:28:44.658
11,FE:F7:D0:12:2E:8D,17212,"ACC: [0.09,-0.02,-0.98],GYR: [-0.17,0.03,-0.44]",13:28:44.659
23,FE:F7:D0:12:2E:8D,16951,"PS: [-0.00,0.01, -0.00,0.00, -0.02,-0.00,0.01,-0.01]",13:28:44.446
23,FE:F7:D0:12:2E:8D,16951,"PS: [-0.00,0.01, -0.00,0.00, -0.02,-0.00,0.01,-0.01]",13:28:44.446
11,FE:F7:D0:12:2E:8D,16808,"ACC: [0.09,-0.02,-0.98],GYR: [-0.17,-0.02,-0.43]",13:28:44.357
11,FE:F7:D0:12:2E:8D,17237,"ACC: [0.09,-0.02,-0.98],GYR: [-0.11,-0.03,-0.43]",13:28:44.682
11,FE:F7:D0:12:2E:8D,17237,"ACC: [0.09,-0.02,-0.98],GYR: [-0.11,-0.03,-0.43]",13:28:44.682
11,FE:F7:D0:12:2E:8D,17249,"ACC: [0.09,-0.03,-0.98],GYR: [-0.14,0.05,-0.41]",13:28:44.687
11,FE:F7:D0:12:2E:8D,17249,"ACC: [0.09,-0.03,-0.98],GYR: [-0.14,0.05,-0.41]",13:28:44.687
23,FE:F7:D0:12:2E:8D,16986,"PS: [-0.00,-0.01, -0.01,0.00, 0.00,0.00,-0.01,-0.01]",13:28:44.493
23,FE:F7:D0:12:2E:8D,16986,"PS: [-0.00,-0.01, -0.01,0.00, 0.00,0.00,-0.01,-0.01]",13:28:44.494
23,FE:F7:D0:12:2E:8D,16999,"PS: [-0.00,-0.00, -0.00,-0.00, -0.00,-0.01,-0.00,0.00]",13:28:44.494
11,FE:F7:D0:12:2E:8D,17274,"ACC: [0.10,-0.02,-0.98],GYR: [-0.12,0.02,-0.47]",13:28:44.713
11,FE:F7:D0:12:2E:8D,17274,"ACC: [0.10,-0.02,-0.98],GYR: [-0.12,0.02,-0.47]",13:28:44.714
11,FE:F7:D0:12:2E:8D,17285,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,0.05,-0.47]",13:28:44.716
11,FE:F7:D0:12:2E:8D,17285,"ACC: [0.09,-0.02,-0.98],GYR: [-0.12,0.05,-0.47]",13:28:44.716
23,FE:F7:D0:12:2E:8D,16999,"PS: [-0.00,-0.00, -0.00,-0.00, -0.00,-0.01,-0.00,0.00]",13:28:44.494
23,FE:F7:D0:12:2E:8D,17020,"PS: [0.01,0.00, -0.00,0.00, 0.01,-0.00,0.00,0.00]",13:28:44.508
11,FE:F7:D0:12:2E:8D,17310,"ACC: [0.09,-0.03,-0.98],GYR: [-0.17,0.02,-0.44]",13:28:44.744
11,FE:F7:D0:12:2E:8D,17310,"ACC: [0.09,-0.03,-0.98],GYR: [-0.17,0.02,-0.44]",13:28:44.745
23,FE:F7:D0:12:2E:8D,17020,"PS: [0.01,0.00, -0.00,0.00, 0.01,-0.00,0.00,0.00]",13:28:44.508
11,FE:F7:D0:12:2E:8D,17347,"ACC: [0.09,-0.03,-0.99],GYR: [-0.17,0.02,-0.44]",13:28:44.747
11,FE:F7:D0:12:2E:8D,17347,"ACC: [0.09,-0.03,-0.99],GYR: [-0.17,0.02,-0.44]",13:28:44.748
23,FE:F7:D0:12:2E:8D,17054,"PS: [0.00,0.01, 0.00,0.00, 0.00,-0.00,-0.00,0.01]",13:28:44.520
23,FE:F7:D0:12:2E:8D,17054,"PS: [0.00,0.01, 0.00,0.00, 0.00,-0.00,-0.00,0.01]",13:28:44.521
11,FE:F7:D0:12:2E:8D,16853,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.06,-0.47]",13:28:44.432
23,FE:F7:D0:12:2E:8D,17066,"PS: [-0.00,-0.01, 0.00,-0.00, -0.00,0.00,0.00,0.00]",13:28:44.561
11,FE:F7:D0:12:2E:8D,17359,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.02,-0.46]",13:28:44.775
11,FE:F7:D0:12:2E:8D,17359,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.02,-0.46]",13:28:44.775
23,FE:F7:D0:12:2E:8D,17066,"PS: [-0.00,-0.01, 0.00,-0.00, -0.00,0.00,0.00,0.00]",13:28:44.561
23,FE:F7:D0:12:2E:8D,17087,"PS: [-0.01,-0.01, 0.01,0.00, -0.01,0.00,0.01,-0.00]",13:28:44.573
23,FE:F7:D0:12:2E:8D,17087,"PS: [-0.01,-0.01, 0.01,0.00, -0.01,0.00,0.01,-0.00]",13:28:44.573
11,FE:F7:D0:12:2E:8D,16853,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,-0.06,-0.47]",13:28:44.433
11,FE:F7:D0:12:2E:8D,17383,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,0.02,-0.46]",13:28:44.805
11,FE:F7:D0:12:2E:8D,17383,"ACC: [0.09,-0.03,-0.98],GYR: [-0.15,0.02,-0.46]",13:28:44.806
11,FE:F7:D0:12:2E:8D,17395,"ACC: [0.09,-0.02,-0.98],GYR: [-0.15,0.02,-0.43]",13:28:44.808
11,FE:F7:D0:12:2E:8D,17395,"ACC: [0.09,-0.02,-0.98],GYR: [-0.15,0.02,-0.43]",13:28:44.808
23,FE:F7:D0:12:2E:8D,17098,"PS: [-0.00,-0.00, -0.01,0.00, 0.01,0.00,0.01,0.01]",13:28:44.575
23,FE:F7:D0:12:2E:8D,17098,"PS: [-0.00,-0.00, -0.01,0.00, 0.01,0.00,0.01,0.01]",13:28:44.576
23,FE:F7:D0:12:2E:8D,16809,"PS: [0.00,0.00, -0.01,-0.00, -0.00,0.01,0.00,0.01]",13:28:44.328
11,FE:F7:D0:12:2E:8D,17420,"ACC: [0.09,-0.02,-0.98],GYR: [-0.15,0.00,-0.44]",13:28:44.833
11,FE:F7:D0:12:2E:8D,17420,"ACC: [0.09,-0.02,-0.98],GYR: [-0.15,0.00,-0.44]",13:28:44.833
23,FE:F7:D0:12:2E:8D,17133,"PS: [0.01,0.01, 0.01,-0.00, 0.01,0.00,-0.01,-0.00]",13:28:44.593
