#TuGraz
#t2
Head,deviceID,deviceTimeStamp,data,androidTimeStamp
11,FE:F7:D0:12:2E:8D,17213,"ACC: [0.42,0.11,-0.89],GYR: [0.64,-0.23,-0.18]",13:31:45.317
11,FE:F7:D0:12:2E:8D,17244,"ACC: [0.42,0.12,-0.89],GYR: [0.66,-0.41,-0.44]",13:31:45.346
11,FE:F7:D0:12:2E:8D,17255,"ACC: [0.42,0.12,-0.89],GYR: [0.70,-0.41,-0.58]",13:31:45.414
23,FE:F7:D0:12:2E:8D,17213,"PS: [0.01,-0.01, -0.00,-0.00, -0.00,-0.00,-0.00,0.01]",13:31:45.317
11,FE:F7:D0:12:2E:8D,17267,"ACC: [0.42,0.12,-0.89],GYR: [0.64,-0.35,-0.61]",13:31:45.420
11,FE:F7:D0:12:2E:8D,17279,"ACC: [0.42,0.12,-0.89],GYR: [0.53,-0.32,-0.69]",13:31:45.421
11,FE:F7:D0:12:2E:8D,17288,"ACC: [0.42,0.12,-0.90],GYR: [0.49,-0.27,-0.69]",13:31:45.422
11,FE:F7:D0:12:2E:8D,17322,"ACC: [0.42,0.13,-0.89],GYR: [0.09,-0.11,-0.66]",13:31:45.423
11,C6:22:F2:44:38:49,11736,"ACC: [-0.13,0.05,-0.99],GYR: [-2.00,0.55,-0.14]",13:31:45.423
11,C6:22:F2:44:38:49,11767,"ACC: [-0.14,0.06,-0.99],GYR: [-1.95,0.56,-0.14]",13:31:45.425
11,FE:F7:D0:12:2E:8D,17334,"ACC: [0.42,0.12,-0.89],GYR: [0.02,-0.02,-0.61]",13:31:45.426
11,FE:F7:D0:12:2E:8D,17347,"ACC: [0.42,0.12,-0.89],GYR: [-0.06,0.06,-0.56]",13:31:45.427
11,FE:F7:D0:12:2E:8D,17359,"ACC: [0.42,0.12,-0.89],GYR: [-0.14,0.15,-0.50]",13:31:45.428
11,FE:F7:D0:12:2E:8D,17368,"ACC: [0.42,0.11,-0.89],GYR: [-0.15,0.21,-0.52]",13:31:45.428
11,FE:F7:D0:12:2E:8D,17383,"ACC: [0.42,0.12,-0.89],GYR: [-0.14,0.27,-0.63]",13:31:45.443
23,FE:F7:D0:12:2E:8D,17245,"PS: [0.00,-0.00, 0.00,0.01, -0.00,-0.00,0.01,-0.00]",13:31:45.346
11,C6:22:F2:44:38:49,11779,"ACC: [-0.13,0.06,-0.99],GYR: [-1.98,0.61,-0.15]",13:31:45.445
11,C6:22:F2:44:38:49,11788,"ACC: [-0.13,0.06,-0.99],GYR: [-1.98,0.61,-0.15]",13:31:45.446
11,FE:F7:D0:12:2E:8D,17392,"ACC: [0.41,0.11,-0.89],GYR: [-0.11,0.31,-0.64]",13:31:45.449
11,FE:F7:D0:12:2E:8D,17403,"ACC: [0.41,0.11,-0.89],GYR: [-0.06,0.31,-0.75]",13:31:45.450
23,FE:F7:D0:12:2E:8D,17256,"PS: [-0.01,-0.00, -0.00,-0.01, 0.01,-0.00,-0.01,-0.00]",13:31:45.414
11,FE:F7:D0:12:2E:8D,17415,"ACC: [0.41,0.11,-0.89],GYR: [-0.03,0.31,-0.82]",13:31:45.502
11,FE:F7:D0:12:2E:8D,17224,"ACC: [0.41,0.11,-0.89],GYR: [0.67,-0.32,-0.34]",13:31:45.317
11,FE:F7:D0:12:2E:8D,17426,"ACC: [0.40,0.11,-0.89],GYR: [0.00,0.26,-0.89]",13:31:45.503
11,FE:F7:D0:12:2E:8D,17438,"ACC: [0.41,0.12,-0.89],GYR: [-0.05,0.20,-0.90]",13:31:45.504
11,C6:22:F2:44:38:49,11810,"ACC: [-0.14,0.05,-0.98],GYR: [-1.97,0.56,-0.17]",13:31:45.505
11,C6:22:F2:44:38:49,11999,"ACC: [-0.14,0.05,-0.99],GYR: [-1.95,0.50,-0.21]",13:31:45.506
11,FE:F7:D0:12:2E:8D,17447,"ACC: [0.41,0.12,-0.89],GYR: [-0.05,0.20,-0.90]",13:31:45.506
11,FE:F7:D0:12:2E:8D,17463,"ACC: [0.41,0.11,-0.89],GYR: [0.00,0.05,-0.89]",13:31:45.507
23,FE:F7:D0:12:2E:8D,17268,"PS: [0.00,0.01, 0.00,0.00, 0.00,0.00,0.01,-0.00]",13:31:45.420
11,FE:F7:D0:12:2E:8D,17472,"ACC: [0.41,0.11,-0.89],GYR: [0.00,0.05,-0.89]",13:31:45.519
11,FE:F7:D0:12:2E:8D,17483,"ACC: [0.40,0.12,-0.89],GYR: [-0.03,-0.03,-0.75]",13:31:45.522
11,FE:F7:D0:12:2E:8D,17495,"ACC: [0.41,0.11,-0.89],GYR: [-0.05,-0.06,-0.63]",13:31:45.530
23,FE:F7:D0:12:2E:8D,17280,"PS: [-0.00,0.01, 0.00,0.01, -0.01,-0.00,0.00,-0.01]",13:31:45.421
11,FE:F7:D0:12:2E:8D,17506,"ACC: [0.41,0.11,-0.89],GYR: [-0.03,-0.06,-0.46]",13:31:45.539
23,FE:F7:D0:12:2E:8D,17289,"PS: [0.01,0.00, -0.00,0.00, -0.00,0.00,-0.00,0.00]",13:31:45.422
11,FE:F7:D0:12:2E:8D,17518,"ACC: [0.41,0.11,-0.89],GYR: [-0.06,-0.15,-0.23]",13:31:45.548
23,FE:F7:D0:12:2E:8D,17323,"PS: [-0.00,-0.00, -0.00,-0.01, 0.00,0.01,0.01,-0.00]",13:31:45.423
11,FE:F7:D0:12:2E:8D,17530,"ACC: [0.41,0.11,-0.89],GYR: [-0.08,-0.17,-0.18]",13:31:45.571
11,FE:F7:D0:12:2E:8D,17543,"ACC: [0.41,0.11,-0.89],GYR: [-0.05,-0.20,-0.17]",13:31:45.594
11,C6:22:F2:44:38:49,12008,"ACC: [-0.14,0.05,-0.99],GYR: [-1.95,0.50,-0.21]",13:31:45.602
11,FE:F7:D0:12:2E:8D,17555,"ACC: [0.41,0.11,-0.89],GYR: [-0.03,-0.24,-0.20]",13:31:45.603
23,C6:22:F2:44:38:49,11737,"PS: [0.00,-0.01, -0.00,0.00, -0.01,0.00,0.00,-0.00]",13:31:45.423
11,FE:F7:D0:12:2E:8D,17567,"ACC: [0.41,0.11,-0.89],GYR: [0.00,-0.26,-0.21]",13:31:45.609
11,FE:F7:D0:12:2E:8D,17579,"ACC: [0.41,0.11,-0.89],GYR: [0.00,-0.26,-0.29]",13:31:45.610
23,C6:22:F2:44:38:49,11768,"PS: [-0.00,0.00, 0.00,0.01, 0.01,0.00,0.00,0.01]",13:31:45.425
11,FE:F7:D0:12:2E:8D,17588,"ACC: [0.41,0.11,-0.89],GYR: [0.00,-0.26,-0.29]",13:31:45.620
11,FE:F7:D0:12:2E:8D,17600,"ACC: [0.41,0.12,-0.89],GYR: [0.02,-0.31,-0.34]",13:31:45.623
23,FE:F7:D0:12:2E:8D,17336,"PS: [0.00,0.00, -0.00,0.00, -0.00,0.00,-0.01,-0.00]",13:31:45.426
23,FE:F7:D0:12:2E:8D,17348,"PS: [0.00,0.00, -0.01,-0.00, 0.00,0.01,0.00,-0.00]",13:31:45.427
11,FE:F7:D0:12:2E:8D,17611,"ACC: [0.41,0.11,-0.89],GYR: [-0.03,-0.34,-0.27]",13:31:45.637
23,FE:F7:D0:12:2E:8D,17360,"PS: [0.00,0.00, -0.00,-0.00, 0.01,-0.00,0.01,0.01]",13:31:45.428
