Head,deviceID,deviceTimeStamp,data,androidTimeStamp
23,FE:F7:D0:12:2E:8D,16797,"PS: [0.01,0.00, -0.01,-0.00, 0.01,0.00,0.00,0.01]",13:28:44.328
23,FE:F7:D0:12:2E:8D,16797,"PS: [0.01,0.00, -0.01,-0.00, 0.01,0.00,0.00,0.01]",13:28:44.357
23,FE:F7:D0:12:2E:8D,16834,"PS: [0.00,0.01, 0.00,0.01, -0.00,-0.00,0.00,0.01]",13:28:44.358
23,FE:F7:D0:12:2E:8D,16834,"PS: [0.00,0.01, 0.00,0.01, -0.00,-0.00,0.00,0.01]",13:28:44.358
23,FE:F7:D0:12:2E:8D,16845,"PS: [-0.00,0.00, -0.00,0.00, 0.00,0.00,0.00,-0.00]",13:28:44.432
23,FE:F7:D0:12:2E:8D,16845,"PS: [-0.00,0.00, -0.00,0.00, 0.00,0.00,0.00,-0.00]",13:28:44.433
23,FE:F7:D0:12:2E:8D,16870,"PS: [-0.02,0.00, 0.00,0.00, 0.00,-0.00,0.00,-0.00]",13:28:44.438
23,FE:F7:D0:12:2E:8D,16870,"PS: [-0.02,0.00, 0.00,0.00, 0.00,-0.00,0.00,-0.00]",13:28:44.438
23,FE:F7:D0:12:2E:8D,16882,"PS: [-0.00,-0.00, -0.00,-0.00, 0.00,0.01,-0.02,-0.00]",13:28:44.440

