Head,deviceID,deviceTimeStamp,data,androidTimeStamp
23,C6:22:F2:44:38:49,52591,"PS: [-0.00,0.01, -0.00,-0.00, -0.01,0.00,0.00,-0.00]",13:25:38.650
23,C6:22:F2:44:38:49,52600,"PS: [0.00,-0.00, 0.01,0.01, 0.01,0.00,0.01,0.00]",13:25:38.680
23,C6:22:F2:44:38:49,52634,"PS: [-0.00,-0.00, 0.00,-0.00, 0.01,-0.00,-0.00,-0.00]",13:25:38.682
23,C6:22:F2:44:38:49,52642,"PS: [-0.01,-0.00, 0.00,0.01, 0.00,0.00,0.01,0.00]",13:25:38.682
23,C6:22:F2:44:38:49,52665,"PS: [0.01,0.01, -0.00,0.01, 0.00,0.00,-0.00,0.00]",13:25:38.683
23,C6:22:F2:44:38:49,52697,"PS: [-0.00,0.00, 0.00,0.00, 0.01,0.00,0.00,-0.01]",13:25:38.684
23,C6:22:F2:44:38:49,52708,"PS: [0.01,-0.01, 0.00,0.00, -0.01,-0.01,-0.00,-0.00]",13:25:38.685
23,C6:22:F2:44:38:49,52740,"PS: [0.01,0.01, -0.00,0.00, 0.01,0.01,0.00,0.00]",13:25:38.711
23,C6:22:F2:44:38:49,52750,"PS: [-0.00,-0.00, -0.00,-0.01, -0.00,0.00,0.00,0.01]",13:25:38.715
23,C6:22:F2:44:38:49,52775,"PS: [-0.00,0.00, -0.01,0.01, -0.00,-0.00,0.00,0.01]",13:25:38.765
23,C6:22:F2:44:38:49,52806,"PS: [-0.01,-0.00, -0.01,-0.00, 0.00,-0.01,-0.01,0.00]",13:25:38.765
23,C6:22:F2:44:38:49,52817,"PS: [0.00,0.00, -0.01,-0.00, -0.01,0.00,-0.01,-0.00]",13:25:38.782
23,C6:22:F2:44:38:49,52849,"PS: [0.01,0.00, 0.01,0.01, 0.01,-0.00,-0.00,-0.00]",13:25:38.785
23,C6:22:F2:44:38:49,52860,"PS: [0.00,0.01, 0.00,0.00, -0.00,0.01,0.00,0.00]",13:25:38.810
23,C6:22:F2:44:38:49,52881,"PS: [-0.01,-0.00, 0.00,0.00, 0.01,0.01,0.00,0.01]",13:25:38.842
23,C6:22:F2:44:38:49,52892,"PS: [-0.01,0.00, -0.01,0.00, -0.01,-0.01,0.01,-0.00]",13:25:38.849
23,C6:22:F2:44:38:49,52923,"PS: [0.00,0.00, -0.01,-0.00, 0.00,0.00,-0.00,-0.01]",13:25:38.868
23,C6:22:F2:44:38:49,52610,"PS: [0.00,0.00, 0.01,-0.00, -0.01,0.00,0.01,0.00]",13:25:38.680
23,C6:22:F2:44:38:49,52955,"PS: [0.00,0.01, 0.01,0.00, 0.01,0.01,-0.00,-0.00]",13:25:38.869
23,C6:22:F2:44:38:49,52965,"PS: [0.00,0.00, -0.00,0.00, -0.00,-0.00,0.01,-0.01]",13:25:38.893
23,C6:22:F2:44:38:49,52653,"PS: [0.00,-0.00, -0.00,-0.01, 0.00,-0.02,-0.02,-0.00]",13:25:38.682
23,C6:22:F2:44:38:49,52997,"PS: [-0.00,0.00, -0.00,-0.01, -0.00,-0.00,-0.00,0.00]",13:25:38.922
23,C6:22:F2:44:38:49,52677,"PS: [-0.00,0.00, 0.00,-0.01, 0.00,0.01,0.01,-0.00]",13:25:38.683
23,C6:22:F2:44:38:49,53007,"PS: [-0.00,0.00, 0.01,-0.00, -0.00,0.00,-0.00,-0.00]",13:25:38.950
23,C6:22:F2:44:38:49,52719,"PS: [-0.00,0.00, 0.00,0.00, -0.00,-0.01,0.01,0.00]",13:25:38.685
23,C6:22:F2:44:38:49,53028,"PS: [-0.01,0.01, 0.00,0.01, 0.01,0.01,0.01,0.00]",13:25:38.955
23,C6:22:F2:44:38:49,53039,"PS: [0.00,-0.00, 0.00,0.01, -0.01,0.01,0.01,-0.00]",13:25:38.982
23,C6:22:F2:44:38:49,53070,"PS: [-0.00,0.00, 0.00,-0.01, 0.01,0.01,-0.00,-0.01]",13:25:38.985
23,C6:22:F2:44:38:49,52763,"PS: [0.01,0.00, 0.00,0.01, -0.00,-0.00,0.00,-0.01]",13:25:38.715
23,C6:22:F2:44:38:49,52783,"PS: [0.00,-0.00, 0.01,0.00, -0.00,0.00,0.00,0.00]",13:25:38.765
23,C6:22:F2:44:38:49,53105,"PS: [-0.00,-0.00, 0.00,-0.00, -0.01,-0.00,-0.00,0.00]",13:25:39.012
23,C6:22:F2:44:38:49,52826,"PS: [0.00,-0.01, 0.01,-0.00, 0.00,0.00,-0.00,-0.00]",13:25:38.782
23,C6:22:F2:44:38:49,53136,"PS: [-0.01,-0.01, 0.00,-0.01, -0.01,0.00,-0.01,0.01]",13:25:39.048
23,C6:22:F2:44:38:49,53148,"PS: [0.00,0.01, -0.00,0.01, 0.00,0.00,0.00,0.00]",13:25:39.049
23,C6:22:F2:44:38:49,53179,"PS: [-0.00,0.00, 0.00,0.01, 0.01,-0.00,0.00,-0.00]",13:25:39.072
23,C6:22:F2:44:38:49,53212,"PS: [-0.01,0.01, -0.00,0.01, 0.00,0.00,0.00,-0.00]",13:25:39.075
23,C6:22:F2:44:38:49,52869,"PS: [0.01,0.00, 0.01,-0.00, -0.00,0.01,-0.00,-0.00]",13:25:38.810
23,C6:22:F2:44:38:49,53222,"PS: [0.00,-0.00, 0.00,0.00, -0.01,-0.00,-0.00,0.00]",13:25:39.104
23,C6:22:F2:44:38:49,53254,"PS: [0.02,0.00, -0.00,0.01, 0.01,0.01,0.00,0.00]",13:25:39.106
23,C6:22:F2:44:38:49,52903,"PS: [0.00,-0.00, -0.00,-0.01, -0.01,-0.00,0.00,-0.00]",13:25:38.849
23,C6:22:F2:44:38:49,52934,"PS: [-0.00,-0.01, -0.00,-0.00, 0.01,-0.01,-0.00,0.01]",13:25:38.868
23,C6:22:F2:44:38:49,53265,"PS: [0.01,0.00, 0.01,0.00, 0.00,-0.00,0.00,-0.00]",13:25:39.132
23,C6:22:F2:44:38:49,53289,"PS: [0.00,0.01, 0.01,0.00, -0.00,0.01,-0.00,-0.00]",13:25:39.161
23,C6:22:F2:44:38:49,53301,"PS: [-0.00,-0.00, -0.00,-0.01, 0.00,-0.00,-0.00,-0.00]",13:25:39.163
23,C6:22:F2:44:38:49,52977,"PS: [0.00,0.00, 0.00,0.01, -0.00,0.01,0.01,-0.00]",13:25:38.893
23,C6:22:F2:44:38:49,53322,"PS: [-0.00,0.00, -0.00,0.00, 0.01,-0.00,-0.01,0.00]",13:25:39.192
23,C6:22:F2:44:38:49,53356,"PS: [-0.01,-0.01, -0.02,-0.01, -0.00,-0.01,-0.01,0.01]",13:25:39.194
23,C6:22:F2:44:38:49,53365,"PS: [0.00,0.01, 0.00,-0.00, 0.01,0.00,0.01,-0.00]",13:25:39.224
23,C6:22:F2:44:38:49,53016,"PS: [0.00,-0.00, 0.00,-0.00, -0.00,0.00,-0.00,-0.00]",13:25:38.950
23,C6:22:F2:44:38:49,53399,"PS: [-0.00,0.01, 0.01,0.01, -0.00,0.00,0.00,-0.00]",13:25:39.253
23,C6:22:F2:44:38:49,53408,"PS: [0.01,-0.01, 0.00,0.00, 0.00,-0.00,0.00,0.00]",13:25:39.255
23,C6:22:F2:44:38:49,53431,"PS: [-0.01,0.00, -0.01,-0.01, -0.01,-0.00,0.02,0.01]",13:25:39.280
