Head,deviceID,deviceTimeStamp,data,androidTimeStamp
23,FE:F7:D0:12:2E:8D,17213,"PS: [0.01,-0.01, -0.00,-0.00, -0.00,-0.00,-0.00,0.01]",13:31:45.317
23,FE:F7:D0:12:2E:8D,17245,"PS: [0.00,-0.00, 0.00,0.01, -0.00,-0.00,0.01,-0.00]",13:31:45.346
23,FE:F7:D0:12:2E:8D,17256,"PS: [-0.01,-0.00, -0.00,-0.01, 0.01,-0.00,-0.01,-0.00]",13:31:45.414
23,FE:F7:D0:12:2E:8D,17268,"PS: [0.00,0.01, 0.00,0.00, 0.00,0.00,0.01,-0.00]",13:31:45.420
23,FE:F7:D0:12:2E:8D,17280,"PS: [-0.00,0.01, 0.00,0.01, -0.01,-0.00,0.00,-0.01]",13:31:45.421
23,FE:F7:D0:12:2E:8D,17289,"PS: [0.01,0.00, -0.00,0.00, -0.00,0.00,-0.00,0.00]",13:31:45.422
23,FE:F7:D0:12:2E:8D,17323,"PS: [-0.00,-0.00, -0.00,-0.01, 0.00,0.01,0.01,-0.00]",13:31:45.423
23,C6:22:F2:44:38:49,11737,"PS: [0.00,-0.01, -0.00,0.00, -0.01,0.00,0.00,-0.00]",13:31:45.423
23,C6:22:F2:44:38:49,11768,"PS: [-0.00,0.00, 0.00,0.01, 0.01,0.00,0.00,0.01]",13:31:45.425
23,FE:F7:D0:12:2E:8D,17336,"PS: [0.00,0.00, -0.00,0.00, -0.00,0.00,-0.01,-0.00]",13:31:45.426
23,FE:F7:D0:12:2E:8D,17348,"PS: [0.00,0.00, -0.01,-0.00, 0.00,0.01,0.00,-0.00]",13:31:45.427
23,FE:F7:D0:12:2E:8D,17360,"PS: [0.00,0.00, -0.00,-0.00, 0.01,-0.00,0.01,0.01]",13:31:45.428
23,FE:F7:D0:12:2E:8D,17371,"PS: [-0.00,0.00, 0.00,0.01, -0.00,0.00,-0.00,-0.00]",13:31:45.428
23,FE:F7:D0:12:2E:8D,17384,"PS: [-0.00,0.00, -0.00,0.01, 0.01,0.00,0.00,0.01]",13:31:45.443
23,C6:22:F2:44:38:49,11780,"PS: [-0.00,-0.00, -0.01,0.01, -0.01,0.01,-0.01,0.00]",13:31:45.445
23,C6:22:F2:44:38:49,11789,"PS: [-0.01,0.00, 0.00,-0.00, -0.00,0.00,-0.00,0.00]",13:31:45.446
23,FE:F7:D0:12:2E:8D,17393,"PS: [-0.00,-0.00, 0.00,-0.01, -0.00,-0.00,-0.01,-0.01]",13:31:45.449
23,FE:F7:D0:12:2E:8D,17404,"PS: [-0.00,-0.00, 0.00,-0.01, -0.01,0.01,0.00,-0.00]",13:31:45.450
23,FE:F7:D0:12:2E:8D,17416,"PS: [-0.01,-0.02, 0.00,0.00, -0.01,-0.00,-0.01,0.01]",13:31:45.502
23,FE:F7:D0:12:2E:8D,17225,"PS: [0.00,0.00, 0.00,0.01, -0.00,0.01,-0.00,-0.00]",13:31:45.317
23,FE:F7:D0:12:2E:8D,17427,"PS: [0.00,0.01, -0.00,0.01, 0.01,0.01,-0.00,-0.01]",13:31:45.503
23,FE:F7:D0:12:2E:8D,17439,"PS: [-0.01,-0.00, 0.01,0.00, -0.01,-0.01,0.01,0.01]",13:31:45.504
23,C6:22:F2:44:38:49,11811,"PS: [0.00,0.00, -0.01,-0.00, -0.00,-0.00,0.01,-0.00]",13:31:45.505
23,C6:22:F2:44:38:49,12000,"PS: [-0.02,-0.01, -0.01,0.01, -0.00,0.00,-0.02,-0.00]",13:31:45.506
23,FE:F7:D0:12:2E:8D,17451,"PS: [0.00,-0.01, -0.00,0.00, 0.01,-0.00,0.00,-0.00]",13:31:45.506
23,FE:F7:D0:12:2E:8D,17464,"PS: [-0.00,0.01, -0.00,-0.00, -0.00,0.00,0.01,0.00]",13:31:45.507
23,FE:F7:D0:12:2E:8D,17475,"PS: [-0.01,-0.02, -0.01,-0.01, -0.00,-0.01,-0.00,0.01]",13:31:45.519
23,FE:F7:D0:12:2E:8D,17484,"PS: [0.01,0.01, 0.00,-0.01, 0.00,0.00,-0.00,-0.00]",13:31:45.522
23,FE:F7:D0:12:2E:8D,17496,"PS: [0.00,-0.01, 0.00,-0.01, 0.01,0.01,0.01,0.01]",13:31:45.530
23,FE:F7:D0:12:2E:8D,17507,"PS: [0.00,0.00, 0.00,0.00, 0.01,0.00,0.00,0.01]",13:31:45.539
23,FE:F7:D0:12:2E:8D,17519,"PS: [-0.01,-0.00, 0.00,0.01, 0.01,-0.01,0.00,0.00]",13:31:45.548
23,FE:F7:D0:12:2E:8D,17532,"PS: [0.00,0.01, -0.00,0.00, 0.01,-0.00,-0.01,-0.01]",13:31:45.571
23,FE:F7:D0:12:2E:8D,17544,"PS: [0.01,0.01, 0.00,0.00, -0.00,0.00,-0.01,-0.00]",13:31:45.594
23,C6:22:F2:44:38:49,12009,"PS: [0.00,0.00, 0.01,-0.00, 0.01,0.01,0.00,-0.00]",13:31:45.602
23,FE:F7:D0:12:2E:8D,17556,"PS: [0.00,-0.00, -0.01,0.00, -0.01,-0.01,-0.00,-0.01]",13:31:45.603
23,FE:F7:D0:12:2E:8D,17568,"PS: [0.00,0.01, 0.01,0.00, -0.00,-0.00,0.01,-0.01]",13:31:45.609
23,FE:F7:D0:12:2E:8D,17580,"PS: [-0.01,0.01, 0.00,0.00, 0.00,-0.00,0.00,-0.00]",13:31:45.610
23,FE:F7:D0:12:2E:8D,17589,"PS: [0.00,-0.00, -0.00,0.00, -0.00,-0.02,-0.01,0.00]",13:31:45.620
23,FE:F7:D0:12:2E:8D,17601,"PS: [0.01,0.00, -0.00,-0.01, 0.01,0.01,0.01,0.00]",13:31:45.623
23,FE:F7:D0:12:2E:8D,17612,"PS: [0.00,-0.00, -0.00,-0.00, 0.01,0.00,0.01,0.00]",13:31:45.637
23,FE:F7:D0:12:2E:8D,17644,"PS: [0.01,-0.00, 0.00,0.00, -0.01,-0.00,-0.00,-0.00]",13:31:45.668
23,FE:F7:D0:12:2E:8D,17655,"PS: [0.00,0.00, -0.00,-0.01, -0.01,-0.01,-0.00,0.00]",13:31:45.702
23,FE:F7:D0:12:2E:8D,17666,"PS: [0.00,-0.00, 0.00,0.01, -0.00,-0.00,-0.01,-0.00]",13:31:45.705
23,C6:22:F2:44:38:49,12064,"PS: [-0.00,0.01, 0.00,0.00, 0.01,0.01,0.00,0.01]",13:31:45.712
23,FE:F7:D0:12:2E:8D,17678,"PS: [0.00,-0.02, 0.01,0.01, 0.00,0.01,0.01,0.00]",13:31:45.719
23,FE:F7:D0:12:2E:8D,17689,"PS: [-0.00,0.01, 0.00,0.00, 0.01,0.00,-0.00,0.00]",13:31:45.733
23,FE:F7:D0:12:2E:8D,17721,"PS: [-0.00,0.01, -0.01,-0.00, 0.00,0.00,0.00,-0.01]",13:31:45.736
23,FE:F7:D0:12:2E:8D,17764,"PS: [0.00,0.00, 0.00,0.00, 0.01,0.00,0.01,-0.00]",13:31:45.750
23,FE:F7:D0:12:2E:8D,17776,"PS: [-0.01,-0.01, 0.00,-0.02, 0.00,0.01,0.00,0.00]",13:31:45.753
23,FE:F7:D0:12:2E:8D,17785,"PS: [0.01,0.00, 0.00,0.00, -0.00,0.01,-0.00,-0.00]",13:31:45.767
23,FE:F7:D0:12:2E:8D,17797,"PS: [-0.01,0.00, 0.01,0.01, 0.01,0.00,0.00,-0.00]",13:31:45.770
23,C6:22:F2:44:38:49,12075,"PS: [-0.02,-0.00, -0.00,-0.01, 0.00,0.01,0.01,0.01]",13:31:45.774
23,C6:22:F2:44:38:49,12129,"PS: [0.00,0.00, -0.01,-0.00, -0.01,0.00,-0.00,-0.01]",13:31:45.779
